# rank	legacy	wide
4075	ed0263fd3597ae5f1b984684b61f876b	b18f6428c837b1613c655cac28237a74
4076	ed0263fd3597ae5f1b984684b61f876b	b18f6428c837b1613c655cac28237a74
4077	ed0263fd3597ae5f1b984684b61f876b	b18f6428c837b1613c655cac28237a74
4078	ed0263fd3597ae5f1b984684b61f876b	b18f6428c837b1613c655cac28237a74
4079	ed0263fd3597ae5f1b984684b61f876b	b18f6428c837b1613c655cac28237a74
4080	85718d1c4ac84fad18db4240425135d3	7d956abe80cfeb4bb8b331f3eebb291c
4081	85718d1c4ac84fad18db4240425135d3	7d956abe80cfeb4bb8b331f3eebb291c
4082	85718d1c4ac84fad18db4240425135d3	7d956abe80cfeb4bb8b331f3eebb291c
4083	85718d1c4ac84fad18db4240425135d3	7d956abe80cfeb4bb8b331f3eebb291c
4084	85718d1c4ac84fad18db4240425135d3	7d956abe80cfeb4bb8b331f3eebb291c
4085	85718d1c4ac84fad18db4240425135d3	7d956abe80cfeb4bb8b331f3eebb291c
4086	85718d1c4ac84fad18db4240425135d3	7d956abe80cfeb4bb8b331f3eebb291c
4087	f217bb301461e9e8f508481e40ed95a6	35a167dbabf32064d9249c9ecda5156d
4088	f217bb301461e9e8f508481e40ed95a6	35a167dbabf32064d9249c9ecda5156d
4089	f217bb301461e9e8f508481e40ed95a6	35a167dbabf32064d9249c9ecda5156d
4090	f217bb301461e9e8f508481e40ed95a6	35a167dbabf32064d9249c9ecda5156d
4091	f217bb301461e9e8f508481e40ed95a6	35a167dbabf32064d9249c9ecda5156d
4092	f217bb301461e9e8f508481e40ed95a6	35a167dbabf32064d9249c9ecda5156d
4093	f217bb301461e9e8f508481e40ed95a6	35a167dbabf32064d9249c9ecda5156d
4094	f217bb301461e9e8f508481e40ed95a6	35a167dbabf32064d9249c9ecda5156d
4095	f217bb301461e9e8f508481e40ed95a6	35a167dbabf32064d9249c9ecda5156d
4096	f217bb301461e9e8f508481e40ed95a6	35a167dbabf32064d9249c9ecda5156d
4097	0beeb5fdf4f95a3610b11a4ad4d84fd5	b0f35637d27c5ac6ba678f122be53a42
4098	0beeb5fdf4f95a3610b11a4ad4d84fd5	b0f35637d27c5ac6ba678f122be53a42
4099	0beeb5fdf4f95a3610b11a4ad4d84fd5	b0f35637d27c5ac6ba678f122be53a42
4100	ef2f8f05df5c00ebd231e269c9d0cc31	c67b82e0496af75dea4ab5c1bfc2c9a6
4101	ef2f8f05df5c00ebd231e269c9d0cc31	c67b82e0496af75dea4ab5c1bfc2c9a6
4102	ef2f8f05df5c00ebd231e269c9d0cc31	c67b82e0496af75dea4ab5c1bfc2c9a6
4103	7d49dd06fb1ce060a538fce098d46d25	3054f86a8d53e544586458560a835272
4104	def7ae7baca1c1b1afe8a5d729dd269f	53b4f76d587d300f0c7b9069321c2878
4105	def7ae7baca1c1b1afe8a5d729dd269f	53b4f76d587d300f0c7b9069321c2878
4106	def7ae7baca1c1b1afe8a5d729dd269f	53b4f76d587d300f0c7b9069321c2878
4107	def7ae7baca1c1b1afe8a5d729dd269f	53b4f76d587d300f0c7b9069321c2878
4108	def7ae7baca1c1b1afe8a5d729dd269f	53b4f76d587d300f0c7b9069321c2878
4109	23bd6b8f42f166062654fc8cbf7f15d0	07389ed9f803ee3e44df91605d6fca13
4110	23bd6b8f42f166062654fc8cbf7f15d0	07389ed9f803ee3e44df91605d6fca13
4111	23bd6b8f42f166062654fc8cbf7f15d0	07389ed9f803ee3e44df91605d6fca13
4112	23bd6b8f42f166062654fc8cbf7f15d0	07389ed9f803ee3e44df91605d6fca13
4113	23bd6b8f42f166062654fc8cbf7f15d0	07389ed9f803ee3e44df91605d6fca13
4114	23bd6b8f42f166062654fc8cbf7f15d0	07389ed9f803ee3e44df91605d6fca13
4115	23bd6b8f42f166062654fc8cbf7f15d0	07389ed9f803ee3e44df91605d6fca13
4116	e4dfa547f6a7b729ba2efde7ade35d32	e3e522fc26bcc06f1fff4eb8a858e891
4117	e4dfa547f6a7b729ba2efde7ade35d32	e3e522fc26bcc06f1fff4eb8a858e891
4118	e4dfa547f6a7b729ba2efde7ade35d32	e3e522fc26bcc06f1fff4eb8a858e891
4119	e4dfa547f6a7b729ba2efde7ade35d32	e3e522fc26bcc06f1fff4eb8a858e891
4120	e4dfa547f6a7b729ba2efde7ade35d32	e3e522fc26bcc06f1fff4eb8a858e891
4121	e4dfa547f6a7b729ba2efde7ade35d32	e3e522fc26bcc06f1fff4eb8a858e891
4122	e4dfa547f6a7b729ba2efde7ade35d32	e3e522fc26bcc06f1fff4eb8a858e891
